src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.0.1,239.255.255.250,37969,1900,17,2024-03-15 22:43:21,22251091.0,408.60917786008787,1.168482030836151,1.168482030836151,0.0,26,0,9092,0,386.0,306.0,349.6923076923077,29.78224720400914,0.0,0.0,0.0,0.0,386,306,349.6923076923077,29.78224720400914,886.9822485207101,208,0,0,26,890043.64,19751818.0,102136.0,3850143.757665367,22251091.0,19751818.0,102136.0,890043.64,3850143.757665367,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,349.6923076923077,0,0,19647626.0,604.0,9824115.0,9823511.0,19647690.0,5507.0,6585573.666666667,9236397.716361877,4000.0,13.0,0.0,0.0,3200.9308306855633,0.0,349.6923076923077,0.0,0,26,0,9092,0
192.168.0.101,192.168.0.100,56530,22,6,2024-03-15 22:43:23,25760503.0,924.1667369616191,7.686185320216768,4.503017662349217,3.1831676578675503,116,82,12117,11690,1602.0,66.0,104.45689655172414,170.77179732843013,1146.0,66.0,142.5609756097561,149.44752709612075,1602,66,120.23737373737374,163.36261091084396,26687.34264360779,2320,1640,0,47,130763.97461928934,5890385.0,13.0,547195.3179725597,25760503.0,5890385.0,60.0,224004.37391304347,701595.1476993411,25759877.0,5891780.0,87.0,318023.1728395062,822046.3251106177,0,0,0,0,1,0,0,0,0,0,0,0.7068965517241379,120.23737373737374,64240,501,5890325.0,565.0,488433.1153846154,979882.8935954866,5890364.0,5410.0,462154.2909090909,956860.687604621,0.0,0.0,435.3333333333333,4.666666666666667,0.0,6497.916537098078,104.45689655172414,142.5609756097561,0,116,82,12117,11690
192.168.0.101,192.168.0.1,53255,53,17,2024-03-15 22:43:42,0.0,0,0,0,0,1,0,89,0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,89,89,89.0,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0,1,0,89,0
192.168.0.101,192.168.0.1,49454,53,6,2024-03-15 22:43:52,431.0,320185.6148491879,4640.371229698376,2320.185614849188,2320.185614849188,1,1,78,60,78.0,78.0,78.0,0.0,60.0,60.0,60.0,0.0,78,60,69.0,9.0,81.0,20,20,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,69.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,60.0,0,1,1,78,60
192.168.0.101,192.168.0.1,49460,53,6,2024-03-15 22:43:52,273.0,505494.50549450546,7326.007326007325,3663.0036630036625,3663.0036630036625,1,1,78,60,78.0,78.0,78.0,0.0,60.0,60.0,60.0,0.0,78,60,69.0,9.0,81.0,20,20,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,69.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,60.0,0,1,1,78,60
192.168.0.101,192.168.0.1,49462,53,6,2024-03-15 22:43:52,273.0,505494.50549450546,7326.007326007325,3663.0036630036625,3663.0036630036625,1,1,78,60,78.0,78.0,78.0,0.0,60.0,60.0,60.0,0.0,78,60,69.0,9.0,81.0,20,20,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,69.0,64240,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,60.0,0,1,1,78,60
192.168.0.101,192.168.0.1,43266,53,17,2024-03-15 22:43:52,0.0,0,0,0,0,1,0,92,0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,92,92,92.0,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0,1,0,92,0
192.168.0.101,192.168.0.1,35017,53,17,2024-03-15 22:43:52,0.0,0,0,0,0,1,0,89,0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,89,89,89.0,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0,1,0,89,0
192.168.0.101,192.168.0.1,57719,53,17,2024-03-15 22:43:52,0.0,0,0,0,0,1,0,89,0,89.0,89.0,89.0,0.0,0.0,0.0,0.0,0.0,89,89,89.0,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,89.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0,1,0,89,0
