src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.10.0.133,138.113.20.168,51862,443,6,2024-03-19 12:34:29,10615900.0,40.69367646643243,0.7535866012302301,0.7535866012302301,0.0,8,0,432,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,160,0,0,0,1516557.142857143,9816159.0,822.0,3390205.6316026626,10615900.0,9816159.0,822.0,1516557.142857143,3390205.6316026626,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,0,0,239454.0,100498.0,169976.0,69478.0,9811667.0,38232.0,3385370.3333333335,4545394.7357817255,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,8,0,432,0
10.10.1.53,35.241.16.93,56144,443,6,2024-03-19 12:34:29,38603808.0,3976.3175694998795,4.662752441417179,1.6578675347261078,3.0048849066910703,64,116,4363,149138,205.0,54.0,68.171875,28.10279939764676,1466.0,66.0,1285.6724137931035,436.0529423697838,1466,54,852.7833333333333,680.0489710716101,462466.6030555556,1280,2320,0,8,215663.73184357543,18024533.0,1.0,1421533.1932965487,38603808.0,18024533.0,3.0,612758.8571428572,2413435.2060166695,34722074.0,27254066.0,1.0,301931.07826086954,2533860.9789944575,0,0,0,0,1,0,0,0,0,0,0,1.8125,852.7833333333333,2048,335,18024532.0,1205.0,854912.8048780488,2872072.3195220456,17946882.0,5820.0,668136.716981132,2529668.566961087,0.0,0.0,46965.0,36.0,0.0,61149.31813269656,68.171875,1285.6724137931035,0,64,116,4363,149138
10.10.1.53,52.84.97.245,40840,443,6,2024-03-19 12:34:29,14880351.0,3035.1434586455657,3.225730360795925,1.209648885298472,2.016081475497453,18,30,1670,43494,452.0,54.0,92.77777777777777,87.50146383255259,1494.0,831.0,1449.8,165.38125649540822,1494,54,940.9166666666666,671.9890510434096,451569.2847222222,360,600,0,1,316603.21276595746,3786943.0,589.0,885599.8299278829,14880351.0,8033666.0,589.0,875314.7647058824,2128686.228337826,7351158.0,3373640.0,1059.0,253488.2068965517,784990.5929276622,0,0,0,0,1,0,0,0,0,0,0,1.6666666666666667,940.9166666666666,2048,141,3784883.0,6289.0,744271.9230769231,1222670.071783155,3786943.0,6212.0,787328.8823529412,1314557.458542692,0.0,0.0,19329.0,14.0,0.0,34336.87585768911,92.77777777777777,1449.8,0,18,30,1670,43494
10.10.43.229,103.235.46.40,33442,443,6,2024-03-19 12:34:30,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,343,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,54,0
10.10.0.133,2.16.162.72,51698,443,6,2024-03-19 12:34:30,14614713.0,58.023718974159806,0.20527259071047102,0.1368483938069807,0.06842419690349034,2,1,788,60,722.0,66.0,394.0,328.0,60.0,60.0,60.0,0.0,722,60,282.6666666666667,310.66523604820816,96512.88888888888,40,20,0,1,7307356.5,12287287.0,2327426.0,4979930.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,282.6666666666667,256,0,0.0,0.0,0.0,0.0,9959861.0,2327426.0,6143643.5,3816217.5,0.0,0.0,0.0,0.0,0.0,0.0,394.0,60.0,0,2,1,788,60
10.10.0.133,2.17.161.83,37200,443,6,2024-03-19 12:34:30,31183510.0,298.23454768241294,0.7055010805390414,0.22447761653514953,0.48102346400389184,7,15,1794,7506,1318.0,54.0,256.2857142857143,434.3684131786598,991.0,66.0,500.4,402.06198527092806,1318,54,422.72727272727275,427.9950277767872,183179.74380165283,140,300,0,2,1484929.0476190476,7197483.0,358.0,2435930.1538847145,24436302.0,7685924.0,11772.0,4072717.0,2693185.435309397,26119278.0,15147098.0,358.0,1865662.7142857143,4408278.374089941,0,0,0,0,1,0,0,0,0,0,0,2.142857142857143,422.72727272727275,256,501,6003874.0,10126.0,2509545.1428571427,2752619.6857374366,7131641.0,13319.0,2026168.6666666667,2515732.7029408133,0.0,0.0,3645.0,7.0,0.0,3985.0612136014674,256.2857142857143,500.4,0,7,15,1794,7506
10.10.0.133,2.17.161.83,37206,443,6,2024-03-19 12:34:30,32134704.999999996,39.085468498932855,0.15559501790976454,0.09335701074585873,0.06223800716390582,3,2,198,1058,66.0,66.0,66.0,0.0,992.0,66.0,529.0,463.0,992,66,251.2,370.4,137196.16,60,40,0,0,8033676.25,20495417.0,751518.0,7451410.415335722,32134705.0,26360740.0,5773965.0,16067352.5,10293387.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,251.2,256,506,0.0,0.0,0.0,0.0,14630094.0,5022447.0,8255448.666666667,4507709.241982549,0.0,0.0,0.0,0.0,0.0,0.0,66.0,529.0,0,3,2,198,1058
10.10.0.133,34.117.36.110,36048,443,6,2024-03-19 12:34:30,2458042.0,51.26031206952526,0.8136557471353216,0.4068278735676608,0.4068278735676608,1,1,66,60,66.0,66.0,66.0,0.0,60.0,60.0,60.0,0.0,66,60,63.0,3.0,9.0,20,20,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,63.0,256,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,60.0,0,1,1,66,60
10.10.3.73,99.80.34.184,37968,443,6,2024-03-19 12:34:30,7120605.0,499.395767634913,1.6852500595103928,0.5617500198367975,1.123500039673595,4,8,1724,1832,1514.0,66.0,431.0,625.289532936543,694.0,66.0,229.0,217.94093236471207,1514,66,296.3333333333333,413.59648880951056,171062.0555555556,80,160,0,1,647327.7272727273,3333161.0,245.0,1149588.9515785505,7120605.0,4206132.0,46669.0,2373535.0,1733687.6872460814,3740117.0,2766213.0,245.0,534302.4285714285,928755.128551094,0,0,0,0,1,0,0,0,0,0,0,2.0,296.3333333333333,362,442,3332916.0,261737.0,2120069.3333333335,1334297.2986843009,3333161.0,46011.0,1281375.4,1420807.1705726432,0.0,0.0,0.0,0.0,0.0,0.0,431.0,229.0,0,4,8,1724,1832
10.10.0.43,255.255.255.255,40011,10001,17,2024-03-19 12:34:31,0.0,0,0,0,0,1,0,222,0,222.0,222.0,222.0,0.0,0.0,0.0,0.0,0.0,222,222,222.0,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,222.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0,0,1,0,222,0
